Category,Order Date,Sales
Bakery,03-02-2016,662
Oil & Masala,03-02-2016,1901
Oil & Masala,06-02-2016,519
Fruits & Veggies,06-02-2016,1333
Fruits & Veggies,06-02-2016,2332
Fruits & Veggies,06-02-2016,1725
"Eggs, Meat & Fish",06-02-2016,1972
Fruits & Veggies,06-02-2016,1810
Snacks,06-02-2016,636
Bakery,06-02-2016,1392
Bakery,06-02-2016,1097
"Eggs, Meat & Fish",07-02-2016,1632
Bakery,07-02-2016,1476
Food Grains,08-02-2016,969
"Eggs, Meat & Fish",08-02-2016,948
Bakery,08-02-2016,626
Snacks,08-02-2016,1658
Fruits & Veggies,09-02-2016,547
Snacks,09-02-2016,2387
"Eggs, Meat & Fish",09-02-2016,2353
Snacks,09-02-2016,1343
Beverages,09-02-2016,530
Snacks,10-02-2016,1895
Snacks,14-02-2016,1330
"Eggs, Meat & Fish",14-02-2016,1944
Bakery,14-02-2016,1947
Oil & Masala,14-02-2016,1776
Fruits & Veggies,14-02-2016,1957
Oil & Masala,14-02-2016,504
Snacks,14-02-2016,942
Fruits & Veggies,15-02-2016,1043
Snacks,15-02-2016,2167
Beverages,15-02-2016,687
Snacks,15-02-2016,2135
Fruits & Veggies,15-02-2016,1609
Beverages,15-02-2016,2035
Food Grains,15-02-2016,972
Food Grains,15-02-2016,760
"Eggs, Meat & Fish",16-02-2016,854
Beverages,16-02-2016,1705
Food Grains,16-02-2016,2452
"Eggs, Meat & Fish",18-02-2016,1044
Snacks,18-02-2016,1078
Beverages,18-02-2016,728
Snacks,20-02-2016,1197
Snacks,20-02-2016,2374
Bakery,21-02-2016,579
Snacks,21-02-2016,2132
Oil & Masala,22-02-2016,2037
Oil & Masala,23-02-2016,2462
Oil & Masala,23-02-2016,1584
Food Grains,25-02-2016,1900
Snacks,25-02-2016,1756
Beverages,27-02-2016,1355
Oil & Masala,27-02-2016,1029
Food Grains,27-02-2016,937
Oil & Masala,27-02-2016,888
Fruits & Veggies,27-02-2016,1105
Oil & Masala,28-02-2016,1286
Beverages,28-02-2016,1242
Beverages,01-03-2016,717
Snacks,01-03-2016,1386
Snacks,01-03-2016,2421
"Eggs, Meat & Fish",01-03-2016,1784
Oil & Masala,01-03-2016,577
Oil & Masala,01-03-2016,2186
Snacks,01-03-2016,876
Oil & Masala,02-03-2016,1947
Beverages,02-03-2016,786
Fruits & Veggies,02-03-2016,983
Food Grains,05-03-2016,2328
"Eggs, Meat & Fish",05-03-2016,1280
Beverages,05-03-2016,2471
Food Grains,05-03-2016,1307
"Eggs, Meat & Fish",05-03-2016,1381
Food Grains,05-03-2016,1517
Oil & Masala,05-03-2016,2168
Beverages,05-03-2016,1583
"Eggs, Meat & Fish",05-03-2016,2038
Beverages,05-03-2016,1636
Bakery,05-03-2016,1743
Oil & Masala,05-03-2016,2125
Oil & Masala,05-03-2016,1423
"Eggs, Meat & Fish",05-03-2016,1401
Fruits & Veggies,05-03-2016,2126
Fruits & Veggies,05-03-2016,1946
Oil & Masala,06-03-2016,1927
Snacks,06-03-2016,1288
Bakery,07-03-2016,1799
"Eggs, Meat & Fish",07-03-2016,1934
Oil & Masala,07-03-2016,1148
Fruits & Veggies,07-03-2016,1878
Bakery,08-03-2016,2403
Food Grains,08-03-2016,937
"Eggs, Meat & Fish",08-03-2016,1733
Beverages,08-03-2016,557
Beverages,08-03-2016,1881
Oil & Masala,08-03-2016,1113
"Eggs, Meat & Fish",08-03-2016,951
Beverages,08-03-2016,1937
Bakery,09-03-2016,1546
Oil & Masala,09-03-2016,2024
Fruits & Veggies,09-03-2016,743
"Eggs, Meat & Fish",10-03-2016,1868
Bakery,10-03-2016,1712
Food Grains,12-03-2016,1871
Food Grains,12-03-2016,1080
Bakery,12-03-2016,816
Fruits & Veggies,12-03-2016,1604
Oil & Masala,13-03-2016,1423
Oil & Masala,13-03-2016,2296
Fruits & Veggies,13-03-2016,1261
Oil & Masala,14-03-2016,612
Snacks,14-03-2016,1596
Food Grains,14-03-2016,1974
Beverages,15-03-2016,1751
Bakery,16-03-2016,965
Snacks,16-03-2016,1791
Snacks,16-03-2016,943
Oil & Masala,16-03-2016,2009
Oil & Masala,16-03-2016,928
"Eggs, Meat & Fish",16-03-2016,2203
Food Grains,16-03-2016,2354
Snacks,16-03-2016,2061
Oil & Masala,16-03-2016,2163
Snacks,16-03-2016,959
Oil & Masala,17-03-2016,1169
Food Grains,17-03-2016,1749
Fruits & Veggies,19-03-2016,2457
"Eggs, Meat & Fish",19-03-2016,2149
Snacks,19-03-2016,2010
Fruits & Veggies,19-03-2016,1834
Snacks,19-03-2016,1714
Beverages,19-03-2016,897
"Eggs, Meat & Fish",19-03-2016,1123
Beverages,19-03-2016,562
Food Grains,19-03-2016,2310
Snacks,19-03-2016,1195
Fruits & Veggies,19-03-2016,985
"Eggs, Meat & Fish",19-03-2016,1290
Snacks,19-03-2016,610
"Eggs, Meat & Fish",20-03-2016,793
Beverages,20-03-2016,1776
Beverages,20-03-2016,1621
Food Grains,20-03-2016,1743
"Eggs, Meat & Fish",20-03-2016,1990
Food Grains,20-03-2016,2049
Bakery,20-03-2016,792
Beverages,20-03-2016,1371
Beverages,20-03-2016,1285
Beverages,21-03-2016,899
Food Grains,21-03-2016,1964
Snacks,21-03-2016,624
Oil & Masala,22-03-2016,2380
"Eggs, Meat & Fish",22-03-2016,1289
"Eggs, Meat & Fish",22-03-2016,2404
Fruits & Veggies,22-03-2016,1188
Oil & Masala,22-03-2016,750
"Eggs, Meat & Fish",22-03-2016,1854
Fruits & Veggies,22-03-2016,1584
Bakery,22-03-2016,640
Bakery,22-03-2016,1684
"Eggs, Meat & Fish",22-03-2016,2088
Fruits & Veggies,23-03-2016,2008
Bakery,23-03-2016,1213
Food Grains,23-03-2016,1458
Oil & Masala,23-03-2016,2190
Beverages,23-03-2016,1170
Fruits & Veggies,23-03-2016,1115
Beverages,24-03-2016,832
Oil & Masala,24-03-2016,1856
Beverages,24-03-2016,1364
Food Grains,26-03-2016,715
Bakery,26-03-2016,1363
Bakery,26-03-2016,1527
Beverages,26-03-2016,926
Fruits & Veggies,26-03-2016,543
Oil & Masala,26-03-2016,1075
Fruits & Veggies,27-03-2016,2262
Food Grains,28-03-2016,2428
Oil & Masala,28-03-2016,520
Bakery,28-03-2016,713
Fruits & Veggies,28-03-2016,2058
Snacks,28-03-2016,1803
Snacks,29-03-2016,1789
Bakery,29-03-2016,2093
Fruits & Veggies,29-03-2016,645
Snacks,29-03-2016,1747
Snacks,29-03-2016,2424
Oil & Masala,29-03-2016,1397
Bakery,29-03-2016,2366
Beverages,29-03-2016,2257
Bakery,30-03-2016,2218
Snacks,30-03-2016,884
Bakery,30-03-2016,1294
Beverages,31-03-2016,733
Snacks,31-03-2016,2437
Snacks,31-03-2016,1744
Fruits & Veggies,02-04-2016,1180
Snacks,02-04-2016,1346
Bakery,02-04-2016,2295
Fruits & Veggies,02-04-2016,630
"Eggs, Meat & Fish",02-04-2016,570
Beverages,02-04-2016,2404
Oil & Masala,04-04-2016,1614
Fruits & Veggies,04-04-2016,762
Food Grains,04-04-2016,1412
Snacks,04-04-2016,928
Snacks,04-04-2016,1783
Oil & Masala,04-04-2016,912
"Eggs, Meat & Fish",04-04-2016,933
"Eggs, Meat & Fish",04-04-2016,1926
Food Grains,04-04-2016,885
Oil & Masala,05-04-2016,689
Fruits & Veggies,05-04-2016,1422
Fruits & Veggies,05-04-2016,1213
Oil & Masala,05-04-2016,1652
Beverages,05-04-2016,522
"Eggs, Meat & Fish",05-04-2016,2237
Food Grains,05-04-2016,903
Fruits & Veggies,05-04-2016,1755
Food Grains,05-04-2016,1724
Food Grains,05-04-2016,2484
Bakery,05-04-2016,1993
Bakery,05-04-2016,2310
Snacks,05-04-2016,1511
Bakery,06-04-2016,1497
"Eggs, Meat & Fish",06-04-2016,2183
Bakery,06-04-2016,2256
Beverages,06-04-2016,1038
Snacks,06-04-2016,1449
Snacks,06-04-2016,526
Beverages,07-04-2016,2307
Oil & Masala,07-04-2016,951
Bakery,07-04-2016,1768
Snacks,07-04-2016,780
Bakery,07-04-2016,916
Oil & Masala,09-04-2016,2367
Bakery,09-04-2016,2463
"Eggs, Meat & Fish",09-04-2016,1315
Fruits & Veggies,10-04-2016,1089
Food Grains,10-04-2016,700
"Eggs, Meat & Fish",10-04-2016,667
Bakery,11-04-2016,2398
Oil & Masala,11-04-2016,1212
Food Grains,11-04-2016,1808
Food Grains,11-04-2016,993
Food Grains,11-04-2016,1783
"Eggs, Meat & Fish",11-04-2016,558
Snacks,11-04-2016,2232
Snacks,12-04-2016,760
Fruits & Veggies,13-04-2016,1150
Beverages,13-04-2016,814
Oil & Masala,13-04-2016,703
Beverages,13-04-2016,1842
Snacks,13-04-2016,568
Food Grains,13-04-2016,2089
Beverages,13-04-2016,2390
Oil & Masala,13-04-2016,1093
Snacks,13-04-2016,862
Oil & Masala,13-04-2016,2081
"Eggs, Meat & Fish",13-04-2016,2078
"Eggs, Meat & Fish",13-04-2016,1977
Food Grains,13-04-2016,912
Food Grains,13-04-2016,2286
Oil & Masala,13-04-2016,1052
Beverages,14-04-2016,2188
Fruits & Veggies,16-04-2016,1808
Beverages,16-04-2016,1726
Food Grains,16-04-2016,1828
Fruits & Veggies,16-04-2016,2032
Snacks,16-04-2016,907
"Eggs, Meat & Fish",16-04-2016,2388
Bakery,16-04-2016,1529
Bakery,16-04-2016,2377
Beverages,16-04-2016,742
Bakery,16-04-2016,1081
Beverages,16-04-2016,2310
Fruits & Veggies,16-04-2016,615
"Eggs, Meat & Fish",16-04-2016,1399
Oil & Masala,16-04-2016,1617
"Eggs, Meat & Fish",17-04-2016,2083
Fruits & Veggies,17-04-2016,1594
Food Grains,17-04-2016,2173
Snacks,17-04-2016,1284
"Eggs, Meat & Fish",17-04-2016,524
Oil & Masala,17-04-2016,2064
Snacks,17-04-2016,2141
Fruits & Veggies,17-04-2016,611
Beverages,18-04-2016,797
Oil & Masala,18-04-2016,1957
"Eggs, Meat & Fish",18-04-2016,1319
Bakery,18-04-2016,1127
Snacks,18-04-2016,793
Snacks,18-04-2016,1842
Oil & Masala,18-04-2016,1049
Snacks,18-04-2016,1692
Food Grains,18-04-2016,1849
Snacks,18-04-2016,1127
Bakery,18-04-2016,1259
Beverages,18-04-2016,1482
Beverages,18-04-2016,902
Beverages,18-04-2016,2306
Bakery,18-04-2016,1417
Beverages,18-04-2016,727
Snacks,18-04-2016,552
Food Grains,18-04-2016,1976
Food Grains,19-04-2016,791
Snacks,19-04-2016,2445
"Eggs, Meat & Fish",20-04-2016,2215
"Eggs, Meat & Fish",20-04-2016,1794
Food Grains,20-04-2016,1892
"Eggs, Meat & Fish",20-04-2016,2443
Fruits & Veggies,20-04-2016,890
Snacks,21-04-2016,1625
Bakery,21-04-2016,2153
Snacks,21-04-2016,993
Oil & Masala,21-04-2016,758
Beverages,22-04-2016,1880
Oil & Masala,22-04-2016,855
Oil & Masala,24-04-2016,2353
Beverages,25-04-2016,842
"Eggs, Meat & Fish",25-04-2016,2209
Beverages,25-04-2016,971
Snacks,25-04-2016,1191
Oil & Masala,25-04-2016,1436
Bakery,25-04-2016,2269
Bakery,25-04-2016,1918
Food Grains,26-04-2016,1713
Oil & Masala,26-04-2016,2467
Bakery,26-04-2016,602
"Eggs, Meat & Fish",26-04-2016,1277
Oil & Masala,26-04-2016,2077
"Eggs, Meat & Fish",26-04-2016,1706
"Eggs, Meat & Fish",26-04-2016,2350
Beverages,26-04-2016,1965
Fruits & Veggies,26-04-2016,2375
Snacks,26-04-2016,721
Fruits & Veggies,27-04-2016,2307
Bakery,27-04-2016,2114
Snacks,27-04-2016,595
Oil & Masala,27-04-2016,1153
"Eggs, Meat & Fish",27-04-2016,506
Food Grains,28-04-2016,641
Fruits & Veggies,28-04-2016,1846
Food Grains,28-04-2016,1132
"Eggs, Meat & Fish",28-04-2016,2454
Oil & Masala,28-04-2016,1192
Oil & Masala,29-04-2016,2029
"Eggs, Meat & Fish",30-04-2016,604
Fruits & Veggies,30-04-2016,1379
Beverages,30-04-2016,1205
Beverages,30-04-2016,606
Food Grains,30-04-2016,1368
Beverages,30-04-2016,825
Beverages,30-04-2016,1511
Snacks,30-04-2016,2043
Bakery,30-04-2016,1484
Oil & Masala,01-05-2016,537
Oil & Masala,01-05-2016,1788
Bakery,01-05-2016,1951
"Eggs, Meat & Fish",01-05-2016,676
Oil & Masala,01-05-2016,1772
Fruits & Veggies,01-05-2016,1983
Oil & Masala,01-05-2016,1404
Bakery,02-05-2016,995
Beverages,02-05-2016,839
"Eggs, Meat & Fish",03-05-2016,529
Bakery,03-05-2016,2295
Food Grains,03-05-2016,1702
Oil & Masala,03-05-2016,2019
Oil & Masala,03-05-2016,2226
Food Grains,03-05-2016,2316
Bakery,03-05-2016,624
Snacks,03-05-2016,1720
Fruits & Veggies,03-05-2016,1751
Beverages,03-05-2016,1113
Fruits & Veggies,03-05-2016,1265
Oil & Masala,03-05-2016,2399
Fruits & Veggies,03-05-2016,744
Oil & Masala,04-05-2016,619
Beverages,04-05-2016,2190
Beverages,04-05-2016,1533
Oil & Masala,04-05-2016,931
Fruits & Veggies,07-05-2016,852
Food Grains,07-05-2016,2241
Beverages,07-05-2016,905
Oil & Masala,08-05-2016,2161
Bakery,08-05-2016,1827
Beverages,08-05-2016,2138
Bakery,08-05-2016,1370
Beverages,08-05-2016,1291
Beverages,08-05-2016,1828
Oil & Masala,08-05-2016,1159
"Eggs, Meat & Fish",08-05-2016,1555
Food Grains,08-05-2016,1770
Snacks,08-05-2016,1729
Oil & Masala,08-05-2016,2101
Snacks,09-05-2016,682
Fruits & Veggies,10-05-2016,966
Beverages,10-05-2016,1512
"Eggs, Meat & Fish",10-05-2016,2316
Oil & Masala,11-05-2016,1839
Snacks,12-05-2016,661
Fruits & Veggies,12-05-2016,517
Snacks,12-05-2016,1448
Fruits & Veggies,12-05-2016,1778
Beverages,12-05-2016,1997
Snacks,12-05-2016,712
Snacks,12-05-2016,1065
Food Grains,12-05-2016,1898
Bakery,13-05-2016,1884
Fruits & Veggies,13-05-2016,2100
Oil & Masala,14-05-2016,777
Beverages,14-05-2016,808
"Eggs, Meat & Fish",14-05-2016,2173
Oil & Masala,14-05-2016,1701
Food Grains,14-05-2016,2444
Beverages,14-05-2016,2178
Bakery,14-05-2016,2128
Beverages,14-05-2016,1259
Beverages,14-05-2016,1061
"Eggs, Meat & Fish",14-05-2016,2302
Oil & Masala,14-05-2016,1735
Oil & Masala,14-05-2016,1064
Beverages,15-05-2016,954
Oil & Masala,15-05-2016,2151
Beverages,16-05-2016,2347
Bakery,17-05-2016,505
Beverages,17-05-2016,1260
Snacks,17-05-2016,2174
Beverages,17-05-2016,2376
Bakery,18-05-2016,1393
Fruits & Veggies,20-05-2016,980
Food Grains,20-05-2016,708
Food Grains,21-05-2016,1442
Food Grains,21-05-2016,582
Bakery,21-05-2016,2318
Food Grains,22-05-2016,1653
Food Grains,22-05-2016,1989
"Eggs, Meat & Fish",22-05-2016,1944
Oil & Masala,22-05-2016,1536
Beverages,23-05-2016,2178
Food Grains,23-05-2016,1706
Bakery,23-05-2016,1847
"Eggs, Meat & Fish",23-05-2016,704
Beverages,23-05-2016,753
Fruits & Veggies,23-05-2016,1663
Oil & Masala,24-05-2016,1566
Fruits & Veggies,24-05-2016,751
Snacks,25-05-2016,1316
Beverages,25-05-2016,1291
Food Grains,25-05-2016,848
"Eggs, Meat & Fish",25-05-2016,1268
Oil & Masala,25-05-2016,2422
Fruits & Veggies,25-05-2016,976
Beverages,25-05-2016,1698
Bakery,25-05-2016,2498
Beverages,26-05-2016,764
Bakery,26-05-2016,1792
Fruits & Veggies,26-05-2016,2117
Bakery,26-05-2016,1432
Bakery,26-05-2016,1027
Bakery,26-05-2016,1926
"Eggs, Meat & Fish",26-05-2016,2485
Oil & Masala,26-05-2016,2061
Oil & Masala,28-05-2016,1768
Beverages,28-05-2016,526
Bakery,28-05-2016,849
Fruits & Veggies,28-05-2016,1305
Fruits & Veggies,28-05-2016,2223
Snacks,28-05-2016,1114
Bakery,28-05-2016,1353
Beverages,28-05-2016,894
Food Grains,28-05-2016,1154
"Eggs, Meat & Fish",29-05-2016,1715
Food Grains,29-05-2016,2135
Fruits & Veggies,29-05-2016,1254
Oil & Masala,29-05-2016,2105
Bakery,29-05-2016,1707
Fruits & Veggies,29-05-2016,2395
Bakery,29-05-2016,2251
Snacks,29-05-2016,2101
Fruits & Veggies,30-05-2016,916
Food Grains,30-05-2016,1560
Food Grains,30-05-2016,1762
Beverages,30-05-2016,1210
Beverages,31-05-2016,1592
Oil & Masala,31-05-2016,1143
Food Grains,31-05-2016,1863
Snacks,31-05-2016,589
"Eggs, Meat & Fish",31-05-2016,1874
Beverages,31-05-2016,2069
Oil & Masala,31-05-2016,2435
Bakery,31-05-2016,959
Oil & Masala,31-05-2016,1254
Snacks,31-05-2016,1736
"Eggs, Meat & Fish",31-05-2016,572
Fruits & Veggies,31-05-2016,2188
Food Grains,31-05-2016,1500
Beverages,31-05-2016,1428
Snacks,31-05-2016,500
Snacks,31-05-2016,2236
Food Grains,31-05-2016,1233
Snacks,01-06-2016,1807
Bakery,01-06-2016,974
Fruits & Veggies,01-06-2016,1909
Snacks,01-06-2016,2225
Beverages,01-06-2016,1726
Snacks,01-06-2016,1272
Fruits & Veggies,01-06-2016,1195
"Eggs, Meat & Fish",04-06-2016,2380
Snacks,04-06-2016,596
Fruits & Veggies,04-06-2016,888
Oil & Masala,04-06-2016,512
Food Grains,04-06-2016,1580
Snacks,04-06-2016,639
Oil & Masala,05-06-2016,2308
"Eggs, Meat & Fish",05-06-2016,1416
Snacks,07-06-2016,527
Oil & Masala,07-06-2016,2231
Beverages,07-06-2016,1614
Beverages,07-06-2016,2202
Bakery,08-06-2016,1178
"Eggs, Meat & Fish",08-06-2016,2492
Beverages,08-06-2016,2119
Bakery,08-06-2016,1609
"Eggs, Meat & Fish",08-06-2016,1259
Fruits & Veggies,08-06-2016,1492
Oil & Masala,08-06-2016,1473
Beverages,08-06-2016,1690
Fruits & Veggies,08-06-2016,2009
Food Grains,09-06-2016,2359
Bakery,09-06-2016,2137
Oil & Masala,09-06-2016,2168
Beverages,09-06-2016,2234
Snacks,09-06-2016,1023
Snacks,09-06-2016,2264
Bakery,09-06-2016,1889
Beverages,11-06-2016,1544
Bakery,11-06-2016,1342
Fruits & Veggies,11-06-2016,1377
Beverages,11-06-2016,1284
"Eggs, Meat & Fish",11-06-2016,1113
Food Grains,11-06-2016,1056
Beverages,11-06-2016,1447
Bakery,11-06-2016,2273
"Eggs, Meat & Fish",11-06-2016,1517
"Eggs, Meat & Fish",11-06-2016,1594
Beverages,11-06-2016,765
"Eggs, Meat & Fish",11-06-2016,2309
Snacks,11-06-2016,1571
"Eggs, Meat & Fish",12-06-2016,1113
Bakery,12-06-2016,2389
Bakery,12-06-2016,2018
Snacks,12-06-2016,1289
"Eggs, Meat & Fish",12-06-2016,1235
Fruits & Veggies,13-06-2016,1121
Oil & Masala,13-06-2016,2192
Food Grains,13-06-2016,840
Bakery,13-06-2016,1092
"Eggs, Meat & Fish",13-06-2016,2380
Fruits & Veggies,13-06-2016,2299
"Eggs, Meat & Fish",13-06-2016,1267
Food Grains,13-06-2016,2047
Snacks,13-06-2016,1606
Fruits & Veggies,13-06-2016,1006
Snacks,14-06-2016,2216
Oil & Masala,15-06-2016,1807
Snacks,15-06-2016,1572
Snacks,15-06-2016,1743
Oil & Masala,15-06-2016,1143
Food Grains,15-06-2016,990
Snacks,15-06-2016,1159
Oil & Masala,16-06-2016,1159
Oil & Masala,16-06-2016,531
Fruits & Veggies,16-06-2016,1229
Food Grains,16-06-2016,1986
Food Grains,16-06-2016,1981
Beverages,16-06-2016,1559
Food Grains,18-06-2016,2098
Fruits & Veggies,18-06-2016,1952
Food Grains,18-06-2016,1769
Beverages,18-06-2016,2262
Bakery,18-06-2016,1513
Fruits & Veggies,18-06-2016,2352
Bakery,18-06-2016,1546
Beverages,18-06-2016,763
Food Grains,18-06-2016,1014
Bakery,18-06-2016,1346
Bakery,18-06-2016,1498
Oil & Masala,18-06-2016,1321
Beverages,18-06-2016,1972
Beverages,18-06-2016,756
Food Grains,19-06-2016,1324
Fruits & Veggies,19-06-2016,1273
Snacks,19-06-2016,843
"Eggs, Meat & Fish",19-06-2016,2394
Bakery,19-06-2016,1939
Beverages,19-06-2016,679
Fruits & Veggies,20-06-2016,1616
"Eggs, Meat & Fish",20-06-2016,1906
"Eggs, Meat & Fish",20-06-2016,1212
Oil & Masala,20-06-2016,2088
Food Grains,21-06-2016,1769
"Eggs, Meat & Fish",22-06-2016,2027
Snacks,22-06-2016,1294
Bakery,22-06-2016,601
"Eggs, Meat & Fish",23-06-2016,2038
"Eggs, Meat & Fish",23-06-2016,1094
Bakery,23-06-2016,2353
Snacks,23-06-2016,1460
Snacks,23-06-2016,893
"Eggs, Meat & Fish",23-06-2016,889
Snacks,23-06-2016,763
Oil & Masala,25-06-2016,640
Bakery,25-06-2016,1993
Bakery,25-06-2016,1385
"Eggs, Meat & Fish",25-06-2016,1220
Beverages,25-06-2016,1972
Beverages,25-06-2016,615
Fruits & Veggies,25-06-2016,1216
Fruits & Veggies,25-06-2016,1329
Snacks,25-06-2016,875
Beverages,25-06-2016,706
Bakery,26-06-2016,1546
Food Grains,26-06-2016,1059
Snacks,26-06-2016,1167
Fruits & Veggies,26-06-2016,1454
Oil & Masala,26-06-2016,1284
Beverages,26-06-2016,2109
Snacks,26-06-2016,1702
Bakery,28-06-2016,1913
Snacks,28-06-2016,1453
Beverages,28-06-2016,1391
"Eggs, Meat & Fish",28-06-2016,829
Beverages,28-06-2016,801
Beverages,28-06-2016,1537
Snacks,29-06-2016,995
"Eggs, Meat & Fish",29-06-2016,671
"Eggs, Meat & Fish",29-06-2016,584
Bakery,29-06-2016,768
Fruits & Veggies,02-07-2016,942
Oil & Masala,02-07-2016,2055
"Eggs, Meat & Fish",02-07-2016,1830
"Eggs, Meat & Fish",02-07-2016,722
Oil & Masala,02-07-2016,2375
"Eggs, Meat & Fish",02-07-2016,2310
Fruits & Veggies,02-07-2016,1524
"Eggs, Meat & Fish",02-07-2016,1527
Food Grains,02-07-2016,938
Fruits & Veggies,02-07-2016,2427
Food Grains,02-07-2016,1923
Oil & Masala,02-07-2016,711
"Eggs, Meat & Fish",02-07-2016,2465
Bakery,03-07-2016,1332
Snacks,03-07-2016,1479
Oil & Masala,03-07-2016,619
Beverages,03-07-2016,1665
Bakery,03-07-2016,2368
Beverages,04-07-2016,949
Food Grains,04-07-2016,1430
Food Grains,04-07-2016,1081
Beverages,05-07-2016,1087
Beverages,05-07-2016,1768
Bakery,05-07-2016,1764
Bakery,05-07-2016,2127
Food Grains,05-07-2016,1900
Oil & Masala,05-07-2016,1495
Food Grains,05-07-2016,2476
Bakery,06-07-2016,1762
Snacks,06-07-2016,545
Fruits & Veggies,06-07-2016,1658
Snacks,06-07-2016,2242
Fruits & Veggies,06-07-2016,1502
Beverages,06-07-2016,869
Beverages,06-07-2016,2452
Beverages,08-07-2016,577
Snacks,09-07-2016,1322
Food Grains,09-07-2016,840
"Eggs, Meat & Fish",09-07-2016,2301
Food Grains,09-07-2016,1775
Food Grains,09-07-2016,1947
Oil & Masala,09-07-2016,830
Snacks,09-07-2016,2144
Beverages,09-07-2016,1794
Oil & Masala,09-07-2016,632
"Eggs, Meat & Fish",09-07-2016,1565
Snacks,09-07-2016,2469
Oil & Masala,09-07-2016,1508
Snacks,09-07-2016,909
Bakery,09-07-2016,1782
Food Grains,10-07-2016,1561
Snacks,10-07-2016,1747
Bakery,11-07-2016,1268
Fruits & Veggies,11-07-2016,1482
"Eggs, Meat & Fish",11-07-2016,2387
Bakery,11-07-2016,967
Bakery,11-07-2016,1302
Bakery,11-07-2016,2241
Snacks,11-07-2016,1333
Snacks,11-07-2016,746
Fruits & Veggies,11-07-2016,919
Food Grains,11-07-2016,1088
Fruits & Veggies,11-07-2016,2354
Snacks,12-07-2016,768
Fruits & Veggies,12-07-2016,2144
Snacks,12-07-2016,1053
"Eggs, Meat & Fish",12-07-2016,864
Snacks,12-07-2016,1848
Oil & Masala,12-07-2016,1413
Bakery,12-07-2016,1840
Bakery,12-07-2016,1753
Fruits & Veggies,13-07-2016,1699
"Eggs, Meat & Fish",13-07-2016,1711
Oil & Masala,13-07-2016,1514
Food Grains,13-07-2016,1203
Beverages,13-07-2016,562
Beverages,14-07-2016,1103
Bakery,14-07-2016,1764
Oil & Masala,14-07-2016,1377
Snacks,14-07-2016,1972
"Eggs, Meat & Fish",16-07-2016,1264
Fruits & Veggies,16-07-2016,1483
Bakery,16-07-2016,887
Beverages,16-07-2016,893
Bakery,16-07-2016,1186
Bakery,16-07-2016,2226
Snacks,16-07-2016,1602
"Eggs, Meat & Fish",17-07-2016,2252
Fruits & Veggies,17-07-2016,1517
Beverages,17-07-2016,2307
Fruits & Veggies,17-07-2016,1735
Oil & Masala,18-07-2016,1036
Food Grains,18-07-2016,1601
Bakery,18-07-2016,2239
Bakery,18-07-2016,2321
Food Grains,18-07-2016,1530
Bakery,19-07-2016,1506
Fruits & Veggies,20-07-2016,1422
Snacks,20-07-2016,1400
Beverages,20-07-2016,1545
Oil & Masala,20-07-2016,1890
"Eggs, Meat & Fish",20-07-2016,1671
Fruits & Veggies,20-07-2016,1615
Bakery,20-07-2016,2259
Beverages,20-07-2016,959
Beverages,20-07-2016,548
Food Grains,20-07-2016,2190
Fruits & Veggies,23-07-2016,1239
"Eggs, Meat & Fish",23-07-2016,584
Oil & Masala,23-07-2016,864
Beverages,24-07-2016,2068
"Eggs, Meat & Fish",24-07-2016,2401
"Eggs, Meat & Fish",24-07-2016,774
Snacks,24-07-2016,1609
Snacks,25-07-2016,1058
Snacks,25-07-2016,1579
Fruits & Veggies,25-07-2016,664
"Eggs, Meat & Fish",25-07-2016,1666
Oil & Masala,25-07-2016,1283
Food Grains,25-07-2016,2331
Fruits & Veggies,25-07-2016,2411
"Eggs, Meat & Fish",25-07-2016,1680
Food Grains,26-07-2016,716
Fruits & Veggies,26-07-2016,1140
Snacks,26-07-2016,2045
Beverages,26-07-2016,2500
Bakery,26-07-2016,563
Food Grains,26-07-2016,2097
Food Grains,26-07-2016,1841
Snacks,27-07-2016,1631
Snacks,30-07-2016,884
Oil & Masala,30-07-2016,2183
Food Grains,30-07-2016,1193
Fruits & Veggies,30-07-2016,2443
Bakery,30-07-2016,1147
Fruits & Veggies,31-07-2016,1238
Oil & Masala,31-07-2016,795
Beverages,31-07-2016,1729
Oil & Masala,31-07-2016,1139
Bakery,31-07-2016,2500
"Eggs, Meat & Fish",01-08-2016,1423
Beverages,01-08-2016,1087
Fruits & Veggies,02-08-2016,981
Bakery,02-08-2016,1777
Oil & Masala,02-08-2016,2357
Beverages,02-08-2016,2392
Fruits & Veggies,02-08-2016,1122
Snacks,02-08-2016,1955
Food Grains,02-08-2016,1224
Beverages,05-08-2016,1340
Bakery,05-08-2016,715
"Eggs, Meat & Fish",05-08-2016,1456
Food Grains,05-08-2016,2230
Bakery,06-08-2016,1346
Food Grains,06-08-2016,1035
Snacks,06-08-2016,1228
Food Grains,06-08-2016,2152
"Eggs, Meat & Fish",06-08-2016,557
Bakery,07-08-2016,2325
Oil & Masala,07-08-2016,833
Bakery,07-08-2016,817
Oil & Masala,07-08-2016,858
"Eggs, Meat & Fish",07-08-2016,1730
Snacks,07-08-2016,1090
Bakery,07-08-2016,1777
Oil & Masala,07-08-2016,1826
Snacks,08-08-2016,1769
Fruits & Veggies,08-08-2016,1278
"Eggs, Meat & Fish",08-08-2016,695
Fruits & Veggies,08-08-2016,2338
Food Grains,08-08-2016,1816
